Item Number,List Price,Cost Column 1 Price,Item Weight,UPS Indicator
RCP1791679CT,209.44,74.86,2.660,Y
RCP1791679EA,33.97,14.88,0.444,Y
RCP1791680,184.70,65.96,2.600,Y
RCP1791791,216.22,74.86,2.700,Y
RCP1791792,245.40,84.96,3.100,Y
RCP1791793,25.07,15.39,0.450,Y
RCP1791793CT,150.42,61.92,3.090,Y
RCP1791794,150.54,52.14,4.300,Y
RCP1791795,256.32,88.70,3.800,Y
RCP1791796,162.57,58.07,3.494,Y
RCP1791797,402.68,172.82,28.766,Y
RCP1791798,232.16,80.36,14.374,Y
RCP1791799,290.18,100.42,1.000,Y
RCP1791800,116.10,40.18,1.000,Y
RCP1791801,60.55,20.95,0.300,Y
RCP1791802,136.59,48.79,1.000,Y
RCP1791803,12.75,8.50,0.020,Y
RCP1792339,983.85,351.49,38.542,Y
RCP1792340,983.85,351.49,1.000,N
RCP1792371,983.85,351.49,1.000,N
RCP1792372,1837.71,656.55,66.400,N
RCP1792373,1837.71,656.55,67.300,N
RCP1792374,1837.71,656.55,1.000,N
RCP1792975,43.46,15.53,0.200,Y
RCP1793532,143.13,64.52,0.736,Y
RCP1793535,143.53,64.68,0.980,Y
RCP1793963CT,443.52,167.68,56.200,N
RCP1799152,7.71,2.67,0.300,Y
RCP1805727,749.95,267.93,22.060,Y
RCP1805727PK,60.53,30.93,1.920,Y
RCP1805728,749.95,267.93,22.060,Y
RCP1805728PK,60.53,30.93,1.920,Y
RCP1805729,749.95,267.93,22.060,Y
RCP1805729PK,60.53,30.93,1.920,Y
RCP1805730,749.95,267.93,22.060,Y
RCP1805730PK,60.53,30.93,1.920,Y
RCP1807914,193.54,66.98,1.000,N
RCP1809375,83.88,31.67,3.400,Y
RCP1818967,1299.36,574.18,1.000,Y
RCP1818968,1306.80,577.47,7.600,Y
RCP1820577,40.18,16.73,18.600,Y
RCP1820578,40.18,14.46,1.550,Y
RCP1820579,41.37,14.46,1.550,Y
RCP1820580,40.18,14.46,0.111,Y
RCP1820581,66.21,23.60,2.650,Y
RCP1820582,66.21,23.60,1.750,Y
RCP1820583,66.21,23.60,1.750,Y
RCP1820584,66.21,23.60,1.750,Y
RCP1822350,120.35,41.85,1.000,Y
RCP1822351,70.71,25.38,3.380,Y
RCP1822352,282.88,101.53,6.040,Y
RCP1829397,196.35,70.16,11.100,Y
RCP1829398,196.35,81.55,7.300,Y
RCP1829399,196.35,77.75,7.300,Y
RCP1829400CT,334.18,119.40,12.500,Y
RCP1829406CT,343.35,132.49,29.352,Y
RCP1829411CT,596.69,230.22,43.600,N
RCP1829414,227.68,89.53,8.000,Y
RCP1829417,265.92,106.99,1.000,Y
RCP1829TSAPLBK,1680.35,700.15,64.000,Y
RCP1834838,193.09,81.61,13.000,Y
RCP1834839,202.85,81.61,13.000,Y
RCP1834840,204.38,84.88,1.000,Y
RCP1835528,307.21,110.27,5.700,Y
RCP1835529,307.21,110.27,3.940,Y
RCP1838235CT,149.28,74.59,17.600,Y
RCP1840999,107.20,27.31,19.250,Y
RCP1841000,67.47,27.31,1.000,Y
RCP1853499,70.89,38.58,7.500,N
RCP1853509,70.89,35.96,7.500,N
RCP1853632,70.89,38.55,7.500,N
RCP1853634,70.89,38.58,7.500,N
RCP1853640,70.89,44.46,7.500,Y
RCP1853645,70.89,38.55,7.500,N
RCP1855312CT,218.39,87.87,4.600,Y
RCP1855BLA,313.82,112.13,13.397,Y
RCP1855GRE,313.82,112.13,12.000,Y
RCP1855RED,313.82,112.13,12.000,Y
