sku,price,special+AF8-price,weight,ups,shipping+AF8-cost
RCPJ15200YEL,36.46,14.0616,0.878,Y,
RCPJ15300YEL,42.47,16.3836,1.5,Y,
RCPJ15500YEL,56.76,21.9132,1.579,Y,
RCPJ253BLUDZ,449.75,170.3102,1,Y,
RCPJ353DZ,462.39,175.1756,12.39,Y,
RCPM1566000,426,426,2.6,N,
RCPM1566200,426,426,2.6,N,
RCPMST35EPLWH,99.01,44.0532,6.38,Y,
RCPMST35SSPL,180.34,80.2332,5.9,Y,
RCPQ180BLACT,86.86,33.5664,1,Y,
RCPQ322CT,552.23,209.2016,9.996,Y,
RCPQ40920BLUCT,150.27,56.19,1,Y,
RCPQ41000BLU,276.77,106.8,2.95,Y,
RCPQ412WH,23.34,9.28,0.129,Y,
RCPQ415BE,28.21,10.89,0.201,Y,
RCPQ41600,38.69,10.3572,0.5,Y,
RCPQ418GN,32.3,12.84,0.257,Y,
RCPQ42600GR00,244.96,94.56,3,Y,
RCPQ61000YL,4.32,2.7864,0.15,Y,
RCPQ620BLUCT,107.13,41.364,0.15,Y,
RCPQ620,107.13,41.364,1.85,Y,
RCPQ63006BLUCT,64.54,24.9264,0.9,Y,
RCPQ750YW,22.63,8.74,0.72,Y,
RCPQ805CT,205.16,79.1316,5,Y,
RCPQ810YEL,211.67,81.7,2,Y,
RCPQ90088YW,208.85,80.5896,10.16,Y,
RCPQ95088YW,126.61,48.8484,27.73,Y,
RCPQ966L1,24.49,17.43,1,Y,
RCPR1536EOTGLBK,363.57,137.6728,44.79,Y,
RCPR1536SSSPL,746.2,282.5854,25,Y,
RCPR2030SSPL,1513.61,573.2056,71.23,Y,
RCPR32SSSGL,509.52,208.184,28,Y,
RCPS3ETHBZPL,961.68,364.1948,46,Y,
RCPSBR52EBK,506.88,191.9554,35,Y,
RCPSO1220B,490.08,185.5954,28,Y,
RCPSO12SSS,807.21,308.2268,28,Y,
RCPSO820PLANT,409.39,155.025,26,Y,
RCPST12EPLRD,414.13,156.827,23.238,Y,
RCPST24EPLRD,616.44,233.4438,30.235,Y,
RCPT11000GY,57.16,22.0644,0.67,Y,
RCPWB26AL,38.97,24.8292,4,Y,
RCPWB96RALCT,570.18,215.9644,36.6,Y,
RCPWB96RBLACT,593.06,224.6246,37,Y,
RCP1966882,492,172.568,8,Y,
RCP1966881,102.92,39.7116,2.15,Y,
RCP1966883,492,172.568,8,Y,
RCP1883455,114,114,3.65,N,
1883593,114,114,8.65,N,
RCP1883568,293.01,133.5918,14.3,Y,
RCP1883570,162.86,114,8.65,Y,
RUB3747,97.29,68.1,98,N,0
RUB7083,97.29,68.1,71,N,0
RUB3748,97.29,68.1,50,N,0
RCPA112BLU,218.57,153,6,Y,0
