id,sku,cat1,cat2,cat3,cat4,cat5,cat6,cat7
1926,RCP9F55BLA,Default Category,Material Handling,Triple Trolley Carts,,,,
1927,RCP9F75CLE,Default Category,Food Service,Kitchen Supplies,Scoops,,,
1928,RCP9F76CLE,Default Category,Food Service,Kitchen Supplies,Scoops,,,
1929,RCP9F77,Default Category,Food Service,Ingredient Bins,Kitchen Supplies,,,
1930,RCP9F78,Default Category,Food Service,Ingredient Bins,Kitchen Supplies,,,
1931,RCP9F79,Default Category,Food Service,Kitchen Supplies,Food Storage Containers & Lids,,,
1932,RCP9F86WHI,Default Category,Food Service,Kitchen Supplies,Ice Containers,,,
1933,RCP9G57WHI,Default Category,Food Service,Ingredient Bins,Kitchen Supplies,,,
1934,RCP9G58WHI,Default Category,Food Service,Ingredient Bins,Kitchen Supplies,,,
1935,RCP9G59,Default Category,Material Handling,Utility Carts,,,,
1936,RCP9G60WHI,Default Category,Food Service,Ingredient Bins,Kitchen Supplies,,,
1937,RCP9G76WHI,Default Category,Food Service,Ingredient Bins,Kitchen Supplies,Indoor Waste Receptacles,Brute Containers,
1938,RCP9G77WHI,Default Category,Food Service,Ingredient Bins,Kitchen Supplies,Indoor Waste Receptacles,Brute Containers,
1939,RCP9G78WHI,Default Category,Food Service,Ingredient Bins,Kitchen Supplies,Indoor Waste Receptacles,Brute Containers,
1940,RCP9G79CHR,Default Category,Food Service,Ingredient Bins,Kitchen Supplies,Racks & Carts,,
1941,RCP9G80CHR,Default Category,Food Service,Ingredient Bins,Kitchen Supplies,Racks & Carts,,
1942,RCP9M00BLA,Default Category,Cleaning,Brooms, Brushes & Dusters,Dust Pans,,
1943,RCP9M01BLA,Default Category,Cleaning,Restroom Cleaners & Accessories,,,,
1944,RCP9P90BEI,Default Category,Waste,Outdoor Waste Receptacles,Plaza Containers,,,
1945,RCP9P90BLA,Default Category,Waste,Outdoor Waste Receptacles,Plaza Containers,,,
1946,RCP9P90DGR,Default Category,Waste,Outdoor Waste Receptacles,Plaza Containers,,,
1947,RCP9P91BEI,Default Category,Waste,Outdoor Waste Receptacles,Plaza Containers,,,
1948,RCP9P91BLA,Default Category,Waste,Outdoor Waste Receptacles,Plaza Containers,,,
1949,RCP9P91DGR,Default Category,Waste,Outdoor Waste Receptacles,Plaza Containers,,,
1950,RCP9S00YEL,Default Category,Safety,Safety Signs,Pads,,,
1951,RCP9S01YEL,Default Category,Safety,Safety Signs,Pads,,,
1952,RCP9S09YEL,Default Category,Safety,Safety Signs,Pads,,,
1953,RCP9S11YEL,Default Category,Safety,Safety Signs,Pads,,,
1954,RCP9S15YEL,Default Category,Safety,Safety Signs,Pads,,,
1955,RCP9S16YEL,Default Category,,,,,,
1956,RCP9S30GRA,Default Category,Cleaning,Storage Containers,,,,
1957,RCP9S30WHI,Default Category,Cleaning,Storage Containers,,,,
1958,RCP9S31GRA,Default Category,Cleaning,Storage Containers,,,,
1959,RCP9S31WHI,Default Category,Cleaning,Storage Containers,,,,
1960,RCP9T00BLA,Default Category,Material Handling,Housekeeping Carts,,,,
1961,RCP9T01BLA,Default Category,Material Handling,Housekeeping Carts,,,,
1962,RCP1966887,Default Category,Material Handling,Housekeeping Carts,,,,
1963,RCP9T13BLA,Default Category,Material Handling,Tilt Trucks,,,,
1964,RCP9T14BLA,Default Category,Material Handling,Tilt Trucks,,,,
1965,RCP9T15BLA,Default Category,Material Handling,Tilt Trucks,,,,
1966,RCP9T16BLA,Default Category,Material Handling,Tilt Trucks,,,,
1967,RCP9T17BLA,Default Category,Material Handling,Tilt Trucks,,,,
1968,RCP9T18BLA,Default Category,Material Handling,Tilt Trucks,,,,
1969,RCP9T19BLA,Default Category,Material Handling,Housekeeping Carts,,,,
1970,RCP9T22BLA,Default Category,Material Handling,Tilt Trucks,,,,
1971,RCP9T23BLA,Default Category,Material Handling,Tilt Trucks,,,,
1972,RCP9T28BLA,Default Category,Material Handling,Audio-Visual Carts,,,,
1973,RCP9T29BLA,Default Category,Material Handling,Audio-Visual Carts,,,,
1974,RCP9T30BLA,Default Category,Material Handling,Audio-Visual Carts,,,,
1975,RCP9T32BLA,Default Category,Material Handling,Audio-Visual Carts,,,,
1976,RCP9T33BLA,Default Category,Material Handling,Audio-Visual Carts,,,,
1977,RCP9T34BLA,Default Category,Material Handling,Audio-Visual Carts,,,,
1978,RCP9T35BLA,Default Category,Material Handling,Audio-Visual Carts,,,,
1979,RCP9T45BLA,Default Category,Material Handling,Platform Trucks,,,,
1980,RCP9T56BLA,Default Category,Material Handling,Platform Trucks,,,,
1981,RCP9T57BLA,Default Category,Material Handling,Service Carts ,Utility Carts,,,
1982,RCP9T58BLA,Default Category,Material Handling,Service Carts ,Utility Carts,,,
1983,RCP9T59BLA,Default Category,Material Handling,Housekeeping Carts,,,,
1984,RCP9T60BLA,Default Category,Material Handling,Housekeeping Carts,,,,
1985,RCP9T61BLA,Default Category,Material Handling,Housekeeping Carts,,,,
1986,RCP9T62BLA,Default Category,Material Handling,Housekeeping Carts,,,,
1987,RCP9T63BLA,Default Category,Material Handling,Housekeeping Carts,,,,
1988,RCP9T64BLA,Default Category,Material Handling,Housekeeping Carts,,,,
1989,RCP9T6571BEI,Default Category,Material Handling,Service Carts ,Utility Carts,,,
1990,RCP9T66BLA,Default Category,Material Handling,Utility Carts,,,,
1991,RCP9T66L1BLA,Default Category,Material Handling,Utility Carts,,,,
1992,RCP9T67BLA,Default Category,Material Handling,Utility Carts,,,,
1993,RCP9T68BLA,Default Category,Material Handling,Service Carts ,Utility Carts,,,
1994,RCP9T68PLA,Default Category,Material Handling,Service Carts ,Utility Carts,,,
1995,RCP9T72,Default Category,Material Handling,Janitor Carts,,,,
1996,RCP9T73,Default Category,Material Handling,Janitor Carts,,,,
1997,RCP9T7301,Default Category,Material Handling,Cart Accessories,,,,
1998,RCP9T73M5BLA,Default Category,Material Handling,Cart Accessories,,,,
1999,RCP9T74BLA,Default Category,Material Handling,Janitor Carts,,,,
2000,RCP9T75,Default Category,Material Handling,Janitor Carts,,,,
2001,RCP9T76,Default Category,Material Handling,Housekeeping Carts,,,,
2002,RCP9T77BLA,Default Category,Material Handling,Housekeeping Carts,,,,
2003,RCP9T78,Default Category,Material Handling,Housekeeping Carts,,,,
2004,RCP9T79BLA,Default Category,Material Handling,Janitor Carts,,,,
2005,RCP1966881,Default Category,Material Handling,Janitor Carts,,,,
2006,RCP9T81BLA,Default Category,Material Handling,Housekeeping Carts,,,,
2007,RCP9T82YEL,Default Category,Material Handling,Cart Accessories,,,,
2008,RCP9T8301,Default Category,Cleaning,Mops & Equipment,Buckets & Wringers,Janitor Carts,,
2009,RCP9T84YEL,Default Category,Material Handling,Cart Accessories,,,,
2010,RCP9T85BLA,Default Category,Material Handling,Housekeeping Carts,,,,
2011,RCP9T86BLA,Default Category,Material Handling,Housekeeping Carts,,,,
2012,RCP9T8901,Default Category,Material Handling,Housekeeping Carts,,,,
