Rubbermaid 6312 SpaceSaver Square Containers, 12 qt - Clear,RCP 6312 CLE,<p><strong><span>SpaceSaver Square Containers. </span></strong><span>Store more in less space. </span><span>Square containers store up to 25% more on a shelf than round containers in the same space.</span></p>,,,,,,
"Rubbermaid 6320 Toilet Bowl Brush 17"" - Yellow ",RCP 6320,"<p><strong><span>Toilet Bowl Brush 17"" - Yellow Plastic Handle. </span></strong><span>Available in several handle lengths, head sizes and styles.</span></p>",,,,,,,
Rubbermaid 6322 SpaceSaver Square Containers 22qt -Clear,RCP 6322 CLE,<p><strong><span>SpaceSaver Square Containers. </span></strong><span>Store more in less space. </span><span>Square containers store up to 25% more on a shelf than round containers in the same space.</span></p>,,,,,,,
Rubbermaid 6337 Bi-Level Deck Scrub Brush ,RCP 6337 BLU,<p><strong><span>Bi-Level Deck Scrub Brush.&nbsp;</span></strong><span>Plastic blocks resist splitting or delaminating.&nbsp;</span><span>Flagged synthetic fibers help avoid scratching delicate surfaces.</span></p>,,,,,,,
"Rubbermaid 6341 Tampico-Fill Countertop Brush 12 1/2""",RCP 6341 BLA,<p><strong><span>Tampico-Fill Countertop Brush.&nbsp;</span></strong><span>Perfect for quick clean-ups.&nbsp;</span><span>All plastic brush blocks are available with flagged or unflagged synthetic bristles.</span></p>,,,,,,,
"Rubbermaid 6342 Countertop Brush 12"" - Silver ",RCP 6342 SIL,<p><strong><span>Countertop Brush.&nbsp;</span></strong><span>Perfect for quick clean-ups.&nbsp;</span><span>All plastic brush blocks are available with flagged or unflagged synthetic bristles.</span></p>,,,,,,,
Rubbermaid 6350 Linen Hamper Bag - Black,RCP 6350 BLA,"<p><span>Ideal for areas where medical waste originates, including patient rooms, labs, and emergency rooms.&nbsp;</span>Assists in complying with OSHA regulation.</p>",,,,,,,
Rubbermaid 6351 Wood Threaded-Tip Broom/Sweep Handle," 54""",RCP 6351,<p><span>Strong shaft ensures durability.&nbsp;Threaded tip features a strip-resistant die cut.&nbsp;Standard sizing allows you to use nearly any common floor sweep.</span></p>,,,,,,
Rubbermaid 6355 Aluminum Threaded Plastic-Tip Broom/Sweep Handle," 57"" ",RCP 6355 GRA,<p><span>Strong shaft ensures durability.&nbsp;Threaded tip features a strip-resistant die cut.&nbsp;Standard sizing allows you to use nearly any common floor sweep.</span></p>,,,,,,
"Rubbermaid 6357 Wood Locking Steel-Tip Broom/Sweep Handle 60"" ",RCP 6357,<p>Strong shaft ensures durability.&nbsp;Threaded tip features a strip-resistant die cut.&nbsp;Standard sizing allows you to use nearly any common floor sweep.</p>,,,,,,,
Rubbermaid 6361 Wood Threaded-Tip Broom/Sweep Handle," 60"" - Natural",RCP 6361,<p>Strong shaft ensures durability.&nbsp;Threaded tip features a strip-resistant die cut.&nbsp;Standard sizing allows you to use nearly any common floor sweep.</p>,,,,,,
Rubbermaid 6362 Tapered-Tip Wood Broom/Sweep Handle," 60"" - Natural",RCP 6362,<p>Handle features long- grain cut hardwood for extra strength.&nbsp;Finely sanded surface ensures smooth performance.</p>,,,,,,
Rubbermaid 6364 Lacquered-Wood Threaded-Tip Broom/Sweep Handle," 60"" - Natural",RCP 6364,<p>Strong shaft ensures durability.&nbsp;Threaded tip features a strip-resistant die cut.&nbsp;Standard sizing allows you to use nearly any common floor sweep.</p>,,,,,,
Rubbermaid 6373 Lobby Corn-Fill Broom," 38"" Handle ",RCP 6373 BRO,<p><span>Bristles effectively move fine and coarse dirt and debris from both rough and smooth surfaces.</span></p>,,,,,,
"Rubbermaid 6374 Lobby Pro Broom Poly Bristles 35"" Metal Handle",RCP 6374,"<p><span>Ideal for one-handed cleaning under tables, fixtures and hard to reach areas.</span></p>",,,,,,,
"Rubbermaid 6375 Brute Angled Large Broom 46-7/8"" Metal Handle - Yellow/Gray",RCP 6375 GRA,<p><span>Ideal for cleaning hard-to-reach areas.&nbsp;</span><span>Cut and shaped for easy sweeping.</span></p>,,,,,,,
Rubbermaid 6381 Standard Corn-Fill Broom," 38"" Handle - Red",RCP 6381,<p><span>Designed for rugged indoor/outdoor cleaning.&nbsp;</span><span>100% natural broom corn fibers for long life and effective pick up.</span></p>,,,,,,
Rubbermaid 6383 Warehouse Corn-Fill Broom, 38-in Handle - Blue,RCP 6383,<p><span>Designed for rugged indoor/outdoor cleaning.&nbsp;</span><span>100% natural broom corn fibers for long life and effective pick up.</span></p>,,,,,,
"Rubbermaid 6385 Brute Angled Broom 48-7/8"" - Silver/Gray",RCP 6385 GRA,<p><span>Ideal for cleaning hard-to-reach areas.&nbsp;</span>Cut and shaped for easy sweeping.</p>,,,,,,,
Rubbermaid 6389-06 Sweep Angled Broom," 46"" Handle - Black/Yellow",RCP 6389-06 BLA,"<p><span>Angle-cut broom is ideal for indoor sweeping tasks, especially around edges and corners.</span></p>",,,,,,
Rubbermaid 6397 Replacement Broom Handle," 10 1/2""",RCP 6397,<p><span>Ideal for cleaning hard-to-reach areas.&nbsp;</span><span>Cut and shaped for easy sweeping.</span></p>,,,,,,
"Rubbermaid 6435 Steel Roller Sponge Mop 12"" Wide ",RCP 6435 BRO,"<p><span style=""><strong>BRUTE STEEL ROLLER SPONGE MOP</strong> <strong>12"" WIDE CELLULOSE SPONGE</strong></span></p>",,,,,,,
"Rubbermaid 6436 Mop Head Refill for Steel Roller Sponge 12"" - Yellow",RCP 6436 YEL,"<p><span style=""><strong>STEEL ROLLER SPONGE MOP HEAD - YELLOW</strong></span></p>",,,,,,,
"Rubbermaid 6482 Iron-Shaped Scrub Brush 6"" Brush ",RCP 6482 COB,"<p><strong><span>Iron-Shaped Scrub Brush 6"" Brush.&nbsp;</span></strong>Hand scrub with molded handle gives you a powerful grip.&nbsp;Helps ease the work of scrubbing floors, countertops and walls.</p>",,,,,,,
Rubbermaid 6509 Lid for 6302,6304,6306,6308, 9F03, 9F04, 9F05, 9F06 ,RCP 6509 WHI,"<p><span style=""><strong>LID FOR 2, 4, 6, &amp; 8 QT CONTAINERS</strong></span></p><p><span style="">Square containers store up to 25% more on a shelf than round containers. </span></p>"
Rubbermaid 6523 Lid for 6312,6318,6322, 9F07, 9F08, 9F09 ,RCP 6523 WHI,<p><strong><span>Lid for&nbsp;Multiple Containers. </span></strong><span>Space saving containers store more in less space.</span><span>Two lid sizes fit all Carb-x&reg; and Dur-x&reg; Space Saving Containers.</span></p>,,
