Item Number,Manufacturer Long Name,List Price,Item Weight
RCP1782742EA,RUBBERMAID COMMERCIAL PROD.,1192.32,5.900
RCP1784284,,2847.53,112.000
RCP1788372,RUBBERMAID COMMERCIAL PROD.,85.69,0.821
RCP1788373CT,RUBBERMAID COMMERCIAL PROD.,342.73,4.100
RCP1788373EA,RUBBERMAID COMMERCIAL PROD.,66.03,0.750
RCP1788374,RUBBERMAID COMMERCIAL PROD.,63.09,0.944
RCP1788375CT,,252.34,4.696
RCP1788376,RUBBERMAID COMMERCIAL PROD.,32.15,1.600
RCP1788377CT,,185.44,12.000
RCP1788378,RUBBERMAID COMMERCIAL PROD.,32.15,1.700
RCP1788379CT,,192.88,10.869
RCP1788380,RUBBERMAID COMMERCIAL PROD.,32.15,1.700
RCP1788472CT,,494.76,49.500
RCP1791676CT,RUBBERMAID COMMERCIAL PROD.,230.40,6.250
RCP1791678CT,RUBBERMAID COMMERCIAL PROD.,140.05,3.140
RCP1791678EA,RUBBERMAID COMMERCIAL PROD.,22.77,0.523
RCP1791679CT,RUBBERMAID COMMERCIAL PROD.,209.44,2.660
RCP1791679EA,RUBBERMAID COMMERCIAL PROD.,33.97,0.444
RCP1791680,RUBBERMAID COMMERCIAL PROD.,184.70,2.600
RCP1791791,RUBBERMAID COMMERCIAL PROD.,216.22,2.700
RCP1791792,RUBBERMAID COMMERCIAL PROD.,245.40,3.100
RCP1791793,RUBBERMAID COMMERCIAL PROD.,25.07,0.450
RCP1791793CT,RUBBERMAID COMMERCIAL PROD.,150.42,3.090
RCP1791794,RUBBERMAID COMMERCIAL PROD.,150.54,4.300
RCP1791795,RUBBERMAID COMMERCIAL PROD.,256.32,3.800
RCP1791796,RUBBERMAID COMMERCIAL PROD.,162.57,3.494
RCP1791797,RUBBERMAID COMMERCIAL PROD.,402.68,28.766
RCP1791798,RUBBERMAID COMMERCIAL PROD.,232.16,14.374
RCP1791799,RUBBERMAID COMMERCIAL PROD.,290.18,1.000
RCP1791800,RUBBERMAID COMMERCIAL PROD.,116.10,1.000
RCP1791801,RUBBERMAID COMMERCIAL PROD.,60.55,0.300
RCP1791802,RUBBERMAID COMMERCIAL PROD.,136.59,1.000
RCP1791803,,12.75,0.020
RCP1792339,RUBBERMAID COMMERCIAL PROD.,983.85,38.542
RCP1792340,RUBBERMAID COMMERCIAL PROD.,983.85,1.000
RCP1792371,RUBBERMAID COMMERCIAL PROD.,983.85,1.000
RCP1792372,RUBBERMAID COMMERCIAL PROD.,1837.71,66.400
RCP1792373,RUBBERMAID COMMERCIAL PROD.,1837.71,67.300
RCP1792374,RUBBERMAID COMMERCIAL PROD.,1837.71,1.000
RCP1792975,RUBBERMAID COMMERCIAL PROD.,43.46,0.200
RCP1793532,RUBBERMAID COMMERCIAL PROD.,143.13,0.736
RCP1793535,RUBBERMAID COMMERCIAL PROD.,143.53,0.980
